Title,Alt Name,CODE,Season,Episode,Resolution,Rating,Watched,Creator,Producer,Year,Season,Genre,Subgenre,Source,link,Review,Clean,Unclean,Subbed,Left,Downloaded,Filtered
Haruchika ,,14,COM,,1080p,B+,2016,P.A. Works,Lantis ,2016,Winter,Music,School,Novel,https://myanimelist.net/anime/30895/HaruChika__Haruta_to_Chika_wa_Seishun_suru,,COM,,MIXED,,,
Heavy Object,,6,,,1080p,B-,2015,,,2015,Fall,,,,,,COM,,FALSE,,,
Hellsing Ultimate,,6,10,,1080p,B,2015,,,,,,,,,,,,,,,
Hidan no Aria AA ,,6,6,,1080p,C+,2015,,,2015,Fall,,,,,,,,,,,
High School Star Musical,,6,6,,,,,,,2015,Fall,,,,,,,,,,,
Hinomaru Sumo,,1,1,24,720p,C+,2018,Gonzo ,Nihon Ad Systems ,2018,Fall,Sports,Shounen ,Manga,https://myanimelist.net/anime/37007/Hinomaruzumou?q=sumo,,,,,,,
Houseki no Kuni,Land of the Lustrous,5,,,1080p,,,Orange ,,2017,Fall,Adventure,Fantasy,Manga,https://myanimelist.net/anime/35557/Houseki_no_Kuni_TV?q=Houseki no Kuni,,,,,,,
Hundred,,6,,,,,2016,Production IMS ,,2016,Spring,Action,Harim,Light Novel,,,,,,,,
Hunter X Hunter ,,2,152,,1080p,,,Madhouse,,2011,Fall,Adventure,Shounen,Manga,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011?q=Hunter X Hunter ,,OP(1) ED(1-2),,,,,
Inuyasha,,5,10,,,,,Sunrise,Yomiuri Telecasting,2000,Fall,Supernatural,Shounen,Manga,https://myanimelist.net/anime/249/InuYasha?q=Inuyasha,,,,,,,
Inuyashiki,,1,COM,,1080p,B+,2017,MAPPA ,,2017,Fall,Action,Superhero,,,,,,,,,
Inuyashiki,,1,COM,,1080p,B+,2017,MAPPA ,,2017,Fall,Action,Superhero,Manga,https://myanimelist.net/anime/34542/Inuyashiki,,,,,,,
Ishuzoku Reviewers ,,5,1,5,720p,B,2020,Passione ,,2020,Winter,Comidy,Ecchi,Manga,https://myanimelist.net/anime/40010/Ishuzoku_Reviewers?q=Ishuzoku Reviewers ,,,,,,,
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense",1,1,COM,720p,B+,2020,Silver Link. ,Funimation ,2020,Winter,Fantasy,Isekai,Light Novel,https://myanimelist.net/anime/38790/Itai_no_wa_Iya_nano_de_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu,,,,,,,
Jitsu  Watashi Wa,,6,,,720p,C,2015,,,2015,Summer,,,,,,,,,,,
Joker Game,,1,COM,,1080p,A-,2016,Production IG,,2016,Spring,Action,Spy,Novel,https://myanimelist.net/anime/31405/Joker_Game?q=Joker Game,,,,,,,
